"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 14:46:19.553","65.14500000000001%"
"Oct 6, 2021 @ 14:46:18.553","65.28%"
"Oct 6, 2021 @ 14:46:17.553","67.96000000000001%"
"Oct 6, 2021 @ 14:46:16.553","68.92500000000001%"
"Oct 6, 2021 @ 14:46:15.553","66.55%"
"Oct 6, 2021 @ 14:46:14.553","67.575%"
"Oct 6, 2021 @ 14:46:13.553","68.14500000000001%"
"Oct 6, 2021 @ 14:46:12.553","68.165%"
"Oct 6, 2021 @ 14:46:11.553","65.83%"
"Oct 6, 2021 @ 14:46:10.553","66.27%"
"Oct 6, 2021 @ 14:46:09.553","68.965%"
"Oct 6, 2021 @ 14:46:08.553","64.16499999999999%"
"Oct 6, 2021 @ 14:46:07.553","64.57000000000001%"
"Oct 6, 2021 @ 14:46:06.553","66.88%"
"Oct 6, 2021 @ 14:46:05.553","65.33%"
"Oct 6, 2021 @ 14:46:04.553","66.625%"
"Oct 6, 2021 @ 14:46:03.553","64.785%"
"Oct 6, 2021 @ 14:46:02.553","64.675%"
"Oct 6, 2021 @ 14:46:01.553","64.27000000000001%"
"Oct 6, 2021 @ 14:46:00.553","62.755%"
"Oct 6, 2021 @ 14:45:59.553","62.76%"
"Oct 6, 2021 @ 14:45:58.553","63.61%"
"Oct 6, 2021 @ 14:45:57.553","62.724999999999994%"
"Oct 6, 2021 @ 14:45:56.553","67.065%"
"Oct 6, 2021 @ 14:45:55.553","63.155%"
"Oct 6, 2021 @ 14:45:54.553","62.0%"
"Oct 6, 2021 @ 14:45:53.553","63.55%"
"Oct 6, 2021 @ 14:45:52.553","64.56%"
"Oct 6, 2021 @ 14:45:51.553","64.78%"
"Oct 6, 2021 @ 14:45:50.553","64.275%"
"Oct 6, 2021 @ 14:45:49.553","62.72%"
"Oct 6, 2021 @ 14:45:48.553","63.905%"
"Oct 6, 2021 @ 14:45:47.553","63.21%"
"Oct 6, 2021 @ 14:45:46.553","65.005%"
"Oct 6, 2021 @ 14:45:45.553","62.91%"
"Oct 6, 2021 @ 14:45:44.553","62.925%"
"Oct 6, 2021 @ 14:45:43.553","48.42%"
"Oct 6, 2021 @ 14:45:42.553","77.64%"
"Oct 6, 2021 @ 14:45:41.553","75.58500000000001%"
"Oct 6, 2021 @ 14:45:40.553","73.685%"
"Oct 6, 2021 @ 14:45:39.553","74.21000000000001%"
"Oct 6, 2021 @ 14:45:38.553","42.41%"
"Oct 6, 2021 @ 14:45:37.553","43.085%"
"Oct 6, 2021 @ 14:45:36.553","42.765%"
"Oct 6, 2021 @ 14:45:35.553","43.085%"
"Oct 6, 2021 @ 14:45:34.553","40.129999999999995%"
"Oct 6, 2021 @ 14:45:33.553","42.465%"
"Oct 6, 2021 @ 14:45:32.553","43.510000000000005%"
"Oct 6, 2021 @ 14:45:31.553","42.485%"
"Oct 6, 2021 @ 14:45:30.553","40.61%"
"Oct 6, 2021 @ 14:45:29.553","41.945%"
"Oct 6, 2021 @ 14:45:28.553","44.144999999999996%"
"Oct 6, 2021 @ 14:45:27.553","41.465%"
"Oct 6, 2021 @ 14:45:26.553","41.825%"
"Oct 6, 2021 @ 14:45:25.553","39.925%"
"Oct 6, 2021 @ 14:45:24.553","41.915%"
"Oct 6, 2021 @ 14:45:23.553","41.715%"
"Oct 6, 2021 @ 14:45:22.553","41.17%"
"Oct 6, 2021 @ 14:45:21.553","42.099999999999994%"
"Oct 6, 2021 @ 14:45:20.553","40.75%"
"Oct 6, 2021 @ 14:45:19.553","41.894999999999996%"
"Oct 6, 2021 @ 14:45:18.553","41.980000000000004%"
"Oct 6, 2021 @ 14:45:17.553","42.019999999999996%"
"Oct 6, 2021 @ 14:45:16.553","41.745000000000005%"
"Oct 6, 2021 @ 14:45:15.553","42.599999999999994%"
"Oct 6, 2021 @ 14:45:14.553","47.25%"
"Oct 6, 2021 @ 14:45:13.553","40.91%"
"Oct 6, 2021 @ 14:45:12.553","42.894999999999996%"
"Oct 6, 2021 @ 14:45:11.553","41.94%"
"Oct 6, 2021 @ 14:45:10.553","41.019999999999996%"
"Oct 6, 2021 @ 14:45:09.553","41.285%"
"Oct 6, 2021 @ 14:45:08.553","42.834999999999994%"
"Oct 6, 2021 @ 14:45:07.553","42.315%"
"Oct 6, 2021 @ 14:45:06.553","42.69%"
"Oct 6, 2021 @ 14:45:05.553","41.650000000000006%"
"Oct 6, 2021 @ 14:45:04.553","42.165%"
"Oct 6, 2021 @ 14:45:03.553","42.805%"
"Oct 6, 2021 @ 14:45:02.553","42.25%"
"Oct 6, 2021 @ 14:45:01.553","40.485%"
"Oct 6, 2021 @ 14:45:00.553","42.74%"
"Oct 6, 2021 @ 14:44:59.553","41.715%"
"Oct 6, 2021 @ 14:44:58.553","41.375%"
"Oct 6, 2021 @ 14:44:57.553","43.54%"
"Oct 6, 2021 @ 14:44:56.553","41.135000000000005%"
"Oct 6, 2021 @ 14:44:55.553","42.57%"
"Oct 6, 2021 @ 14:44:54.553","44.185%"
"Oct 6, 2021 @ 14:44:53.553","41.975%"
"Oct 6, 2021 @ 14:44:52.553","41.89%"
"Oct 6, 2021 @ 14:44:51.553","42.025000000000006%"
"Oct 6, 2021 @ 14:44:50.553","41.29%"
"Oct 6, 2021 @ 14:44:49.553","41.325%"
"Oct 6, 2021 @ 14:44:48.553","40.63%"
"Oct 6, 2021 @ 14:44:47.553","42.480000000000004%"
"Oct 6, 2021 @ 14:44:46.553","40.5%"
"Oct 6, 2021 @ 14:44:45.553","42.175%"
"Oct 6, 2021 @ 14:44:44.553","44.38%"
"Oct 6, 2021 @ 14:44:43.553","42.245000000000005%"
"Oct 6, 2021 @ 14:44:42.553","43.230000000000004%"
"Oct 6, 2021 @ 14:44:41.553","41.355000000000004%"
"Oct 6, 2021 @ 14:44:40.553","41.480000000000004%"
"Oct 6, 2021 @ 14:44:39.553","47.025%"
"Oct 6, 2021 @ 14:44:38.553","47.845%"
"Oct 6, 2021 @ 14:44:37.553","46.11%"
"Oct 6, 2021 @ 14:44:36.553","46.43000000000001%"
"Oct 6, 2021 @ 14:44:35.553","46.945%"
"Oct 6, 2021 @ 14:44:34.553","46.43%"
"Oct 6, 2021 @ 14:44:33.553","47.915%"
"Oct 6, 2021 @ 14:44:32.553","45.195%"
"Oct 6, 2021 @ 14:44:31.553","45.335%"
"Oct 6, 2021 @ 14:44:30.553","45.974999999999994%"
"Oct 6, 2021 @ 14:44:29.553","47.63%"
"Oct 6, 2021 @ 14:44:28.553","45.515%"
"Oct 6, 2021 @ 14:44:27.553","46.095%"
"Oct 6, 2021 @ 14:44:26.553","45.4%"
"Oct 6, 2021 @ 14:44:25.553","48.09%"
"Oct 6, 2021 @ 14:44:24.553","45.235%"
"Oct 6, 2021 @ 14:44:23.553","45.625%"
"Oct 6, 2021 @ 14:44:22.553","45.724999999999994%"
"Oct 6, 2021 @ 14:44:21.553","46.405%"
"Oct 6, 2021 @ 14:44:20.553","46.47%"
"Oct 6, 2021 @ 14:44:19.553","47.025000000000006%"
"Oct 6, 2021 @ 14:44:18.553","45.415000000000006%"
"Oct 6, 2021 @ 14:44:17.553","46.004999999999995%"
"Oct 6, 2021 @ 14:44:16.553","47.47%"
"Oct 6, 2021 @ 14:44:15.553","45.0%"
"Oct 6, 2021 @ 14:44:14.553","48.99%"
"Oct 6, 2021 @ 14:44:13.553","47.275000000000006%"
"Oct 6, 2021 @ 14:44:12.553","48.56%"
"Oct 6, 2021 @ 14:44:11.553","48.0%"
"Oct 6, 2021 @ 14:44:10.553","48.540000000000006%"
"Oct 6, 2021 @ 14:44:09.553","53.989999999999995%"
"Oct 6, 2021 @ 14:44:08.553","63.53%"
"Oct 6, 2021 @ 14:44:07.553","62.105000000000004%"
"Oct 6, 2021 @ 14:44:06.553","60.849999999999994%"
"Oct 6, 2021 @ 14:44:05.553","63.28%"
"Oct 6, 2021 @ 14:44:04.553","67.545%"
"Oct 6, 2021 @ 14:44:03.553","60.235%"
"Oct 6, 2021 @ 14:44:02.553","60.385000000000005%"
"Oct 6, 2021 @ 14:44:01.553","60.760000000000005%"
"Oct 6, 2021 @ 14:44:00.553","65.155%"
"Oct 6, 2021 @ 14:43:59.553","67.105%"
"Oct 6, 2021 @ 14:43:58.553","65.05%"
"Oct 6, 2021 @ 14:43:57.553","55.114999999999995%"
"Oct 6, 2021 @ 14:43:56.553","62.615%"
"Oct 6, 2021 @ 14:43:55.553","41.38%"
"Oct 6, 2021 @ 14:43:54.553","41.47%"
"Oct 6, 2021 @ 14:43:53.553","41.42%"
"Oct 6, 2021 @ 14:43:52.553","41.16%"
"Oct 6, 2021 @ 14:43:51.553","41.18%"
"Oct 6, 2021 @ 14:43:50.553","41.065%"
"Oct 6, 2021 @ 14:43:49.553","41.855000000000004%"
"Oct 6, 2021 @ 14:43:48.553","40.81%"
"Oct 6, 2021 @ 14:43:47.553","40.585%"
"Oct 6, 2021 @ 14:43:46.553","41.12%"
"Oct 6, 2021 @ 14:43:45.553","41.730000000000004%"
"Oct 6, 2021 @ 14:43:44.553","43.025%"
"Oct 6, 2021 @ 14:43:43.553","40.915%"
"Oct 6, 2021 @ 14:43:42.553","41.495000000000005%"
"Oct 6, 2021 @ 14:43:41.553","40.385000000000005%"
"Oct 6, 2021 @ 14:43:40.553","39.0%"
"Oct 6, 2021 @ 14:43:39.553","41.325%"
"Oct 6, 2021 @ 14:43:38.553","41.705%"
"Oct 6, 2021 @ 14:43:37.553","41.035%"
"Oct 6, 2021 @ 14:43:36.553","40.295%"
"Oct 6, 2021 @ 14:43:35.553","43.120000000000005%"
"Oct 6, 2021 @ 14:43:34.553","41.06%"
"Oct 6, 2021 @ 14:43:33.553","41.465%"
"Oct 6, 2021 @ 14:43:32.553","41.885000000000005%"
"Oct 6, 2021 @ 14:43:31.553","41.285%"
"Oct 6, 2021 @ 14:43:30.553","41.3%"
"Oct 6, 2021 @ 14:43:29.553","40.629999999999995%"
"Oct 6, 2021 @ 14:43:28.553","40.195%"
"Oct 6, 2021 @ 14:43:27.553","41.945%"
"Oct 6, 2021 @ 14:43:26.553","40.255%"
"Oct 6, 2021 @ 14:43:25.553","42.235%"
"Oct 6, 2021 @ 14:43:24.553","41.01%"
"Oct 6, 2021 @ 14:43:23.553","40.905%"
"Oct 6, 2021 @ 14:43:22.553","40.05%"
"Oct 6, 2021 @ 14:43:21.553","41.084999999999994%"
"Oct 6, 2021 @ 14:43:20.553","41.265%"
"Oct 6, 2021 @ 14:43:19.553","41.644999999999996%"
"Oct 6, 2021 @ 14:43:18.553","42.07%"
"Oct 6, 2021 @ 14:43:17.553","40.805%"
"Oct 6, 2021 @ 14:43:16.553","40.58%"
"Oct 6, 2021 @ 14:43:15.553","41.480000000000004%"
"Oct 6, 2021 @ 14:43:14.553","43.18%"
"Oct 6, 2021 @ 14:43:13.553","40.04%"
"Oct 6, 2021 @ 14:43:12.553","43.32%"
"Oct 6, 2021 @ 14:43:11.553","42.75%"
"Oct 6, 2021 @ 14:43:10.553","42.015%"
"Oct 6, 2021 @ 14:43:09.553","41.495%"
"Oct 6, 2021 @ 14:43:08.553","40.955%"
"Oct 6, 2021 @ 14:43:07.553","41.065%"
"Oct 6, 2021 @ 14:43:06.553","42.375%"
"Oct 6, 2021 @ 14:43:05.553","39.010000000000005%"
"Oct 6, 2021 @ 14:43:04.553","40.585%"
"Oct 6, 2021 @ 14:43:03.553","40.56%"
"Oct 6, 2021 @ 14:43:02.553","41.849999999999994%"
"Oct 6, 2021 @ 14:43:01.553","41.425%"
"Oct 6, 2021 @ 14:43:00.553","40.68%"
"Oct 6, 2021 @ 14:42:59.553","41.510000000000005%"
"Oct 6, 2021 @ 14:42:58.553","41.3%"
"Oct 6, 2021 @ 14:42:57.553","41.315%"
"Oct 6, 2021 @ 14:42:56.553","43.269999999999996%"
