"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 31, 2021 @ 13:38:32.263","61.41%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:38:28.897","74.79%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:38:27.263","63.69%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:38:23.897","67.08%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:38:22.263","64.36%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:38:18.897","64.81%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:38:17.263","64.62%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:38:13.897","60.31%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:38:12.263","67.09%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:38:08.897","58.43%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:38:07.264","73.57%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:38:03.897","56.98%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:38:02.263","66.19%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:58.897","58.49%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:57.263","70.87%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:53.897","55.43%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:52.269","63.23%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:48.897","58.82%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:47.263","59.56%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:43.897","59.1%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:42.263","54.98%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:38.897","61.93%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:37.263","52.64%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:33.897","66.76%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:32.263","51.15%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:28.897","59.19%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:27.263","51.07%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:23.897","59.53%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:22.263","51.9%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:18.897","56.22%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:17.263","52.05%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:13.897","47.67%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:37:12.269","54.61%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:37:08.897","44.61%","ip-172-31-2-90"
